Uuid,Privilege name,Description,_order:1000
uuid,privilege,description
d05118c6-2490-4d78-a41a-390e3596a210,Get Encounter Roles,Able to get encounter roles
d05118c6-2490-4d78-a41a-390e3596a247,Get Encounter Types,Able to get encounter types
d05118c6-2490-4d78-a41a-390e3596a248,Get Encounters,Able to get patient encounters
d05118c6-2490-4d78-a41a-390e3596a234,Get Field Types,Able to get field types
d05118c6-2490-4d78-a41a-390e3596a240,Get Forms,Able to get forms
d05118c6-2490-4d78-a41a-390e3596a226,Get Global Properties,Able to get global properties on the administration screen
d05118c6-2490-4d78-a41a-390e3596a217,Get HL7 Inbound Archive,Able to get an HL7 archive item
d05118c6-2490-4d78-a41a-390e3596a216,Get HL7 Inbound Exception,Able to get an HL7 error item
d05118c6-2490-4d78-a41a-390e3596a218,Get HL7 Inbound Queue,Able to get an HL7 Queue item
d05118c6-2490-4d78-a41a-390e3596a219,Get HL7 Source,Able to get an HL7 Source
d05118c6-2490-4d78-a41a-390e3596a239,Get Identifier Types,Able to get patient identifier types
d05118c6-2490-4d78-a41a-390e3596a212,Get Location Attribute Types,Able to get location attribute types
d05118c6-2490-4d78-a41a-390e3596a246,Get Locations,Able to get locations
d3e83858-99e9-4f9e-8ea0-42c1fdadb708,Get Medication Dispense,Able to get Medication Dispenses
06266b08-87d3-4a13-b152-e82bfd0a860e,Get Notes,Able to get patient notes
d05118c6-2490-4d78-a41a-390e3596a245,Get Observations,Able to get patient observations
b452ae44-22ec-4cc3-a0f0-384789b37c12,Get Order Frequencies,Able to get Order Frequencies
9d4e341b-aac6-4598-acff-70b985cc4397,Get Order Set Attribute Types,Able to get order set attribute types
33be7233-a15b-43ea-9d69-f3e4cfaf4d41,Get Order Sets,Able to get order sets
d05118c6-2490-4d78-a41a-390e3596a233,Get Order Types,Able to get order types
d05118c6-2490-4d78-a41a-390e3596a241,Get Orders,Able to get orders
d05118c6-2490-4d78-a41a-390e3596a242,Get Patient Cohorts,Able to get patient cohorts
d05118c6-2490-4d78-a41a-390e3596a243,Get Patient Identifiers,Able to get patient identifiers
d05118c6-2490-4d78-a41a-390e3596a227,Get Patient Programs,Able to get which programs that patients are in
d05118c6-2490-4d78-a41a-390e3596a244,Get Patients,Able to get patients
d05118c6-2490-4d78-a41a-390e3596a224,Get People,Able to get person objects
d05118c6-2490-4d78-a41a-390e3596a225,Get Person Attribute Types,Able to get person attribute types
d05118c6-2490-4d78-a41a-390e3596a236,Get Privileges,Able to get user privileges
d05118c6-2490-4d78-a41a-390e3596a221,Get Problems,Able to get problems
d05118c6-2490-4d78-a41a-390e3596a228,Get Programs,Able to get patient programs
8e3582fa-2f9b-464c-8fbc-a23a6bb1a12f,Get Provider Attribute Types,Able to get provider attribute types
d05118c6-2490-4d78-a41a-390e3596a211,Get Providers,Able to get Providers
d05118c6-2490-4d78-a41a-390e3596a232,Get Relationship Types,Able to get relationship types
d05118c6-2490-4d78-a41a-390e3596a223,Get Relationships,Able to get relationships
d05118c6-2490-4d78-a41a-390e3596a235,Get Roles,Able to get user roles
dad09616-1132-11ef-8d73-33e8f40e68de,Get Tags,Able to get the tags
d05118c6-2490-4d78-a41a-390e3596a249,Get Users,Able to get users in OpenMRS
d05118c6-2490-4d78-a41a-390e3596a213,Get Visit Attribute Types,Able to get visit attribute types
d05118c6-2490-4d78-a41a-390e3596a215,Get Visit Types,Able to get visit types
d05118c6-2490-4d78-a41a-390e3596a214,Get Visits,Able to get visits
eaef2a84-47b7-4232-bccb-db2ef723f679,Manage Address Hierarchy,Allows user to access/modify the defined address hierarchy
02ddc03c-c8b3-4a23-a8b3-0ad1696ceaad,Manage Address Templates,Able to add/edit/delete address templates
a333c427-54c5-4c34-82ec-2c6e31c32ac1,Manage AI Button,Manage AI Button
129aa0ca-440a-11e6-a65c-00e04c680037,Manage Alerts,Able to add/edit/delete user alerts
e14f9560-ffe9-48f6-9f53-69c02b8c6fa9,Manage allergies,
b378ab69-1fd1-41db-ac79-27b7ce16f2c2,Manage Appointment,Manage Appointment
5c39cc8f-4001-11ee-8181-2a3773259ccd,Manage Appointment Services,Able to manage Services in Appointments module
5c3bf91d-4001-11ee-8181-2a3773259ccd,Manage Appointment Specialities,Able to manage Specialities in Appointments module
6e6c0cdc-aff1-4673-b317-f0cd1e141ec5,Manage Appointment Types,Ability to add/edit/purge appointment types
5c358729-4001-11ee-8181-2a3773259ccd,Manage Appointments,Able to manage Appointments in Appointments module
278f8c4b-30fb-4bf3-824d-3d042d949c8d,Manage Appointments Settings,Ability to manage the appointment scheduling module settings
721a53aa-5d73-4fdb-9f61-54f8f981b02b,Manage Appointments Summary,Manage Appointments Summary
3fd388c5-d552-4539-8205-eb9c847308d2,Manage Atlas Data,Allows user to set/update/delete atlas data
eefc36ab-af03-406a-94b9-0300e1e807f6,Manage Auto Generation Options,"Allows user add, edit, and remove auto-generation options"
bfe2218c-86db-49d0-93c7-6012c4953fee,Manage Billing,Allows the cashier to manage billing requests
b5c4560d-ab87-491d-b3f3-75d423c951d6,Manage Care Panel,Manage Care Panel
c93ebcb0-b9b1-4c9e-874d-1bec4b2f587b,Manage Cashier Bills,Able to add/edit/delete bills
44284fb0-f7cd-4d4f-81da-7dad6a085de4,Manage Cashier Metadata,Able to add/edit/delete cashier module metadata
66ada9ee-3d73-4db3-bf91-571665b90117,Manage Cashier Timesheets,Able to add/edit/delete timesheets
aaf2c623-be86-422e-a40f-61f326754041,Manage clinical dashboard,
da09a036-6d51-4f3c-a4f0-0758555f0f50,Manage Clinical Forms,Manage Clinical Forms
4c6004bb-ad66-4dac-acb6-9bb71d46888b,Manage clinical views divider,
6898e1b1-90b6-4079-b2c4-d68bdc19b05f,Manage Cohort Definitions,Add/Edit/Remove Cohort Definitions
0b32e464-f9e1-42ef-802a-8c37b390f3d2,Manage Cohorts In Cohort Module,Allows to manage Cohorts' metadata
3d9a4c99-ac31-4150-b57a-35db60881008,Manage Concept Attribute Types,Able to add/edit/retire concept attribute types
129aa10e-440a-11e6-a65c-00e04c680037,Manage Concept Classes,Able to add/edit/retire concept classes
129aa19d-440a-11e6-a65c-00e04c680037,Manage Concept Datatypes,Able to add/edit/retire concept datatypes
69cb3944-e328-4155-b34a-b4e90068d341,Manage Concept Map Types,Able to add/edit/retire concept map types
58e22b94-4d63-4b37-b05e-763d87cba490,Manage Concept Name tags,Able to add/edit/delete concept name tags
4215be25-34e7-4427-b85b-e68ea4aef1a7,Manage Concept Reference Terms,Able to add/edit/retire reference terms
129aa1f0-440a-11e6-a65c-00e04c680037,Manage Concept Sources,Able to add/edit/delete concept sources
96e0c2c6-a387-4ef4-b6a0-9a6ca8e850f2,Manage Concept Stop Words,Able to view/add/remove the concept stop words
129aa22e-440a-11e6-a65c-00e04c680037,Manage Concepts,Able to add/edit/delete concept entries
afbf178e-d3d3-465d-9273-c480f1bcc03c,Manage conditions,
094ead78-ae88-4c4d-9cbb-228bbab124b2,Manage Data Set Definitions,Add/Edit/Remove Data Set Definitions
243f6d43-6cf9-4eb8-ae6d-f9b9179f66d7,Manage Data Visualizer,Manage Data Visualizer
c2917c2a-008a-4db2-884c-1e0a889b66f4,Manage Dimension Definitions,Add/Edit/Remove Dimension Definitions
09f3313d-9c27-438c-a9fb-6b4cfb86410f,Manage Dispensing,allows the user to manage dispensing
7494bc5c-44e8-4f45-bfa7-9b6e3f662fd0,Manage EID Program,Manage EID Program
61307a3e-1429-4ae6-a85e-65c92eac7a73,Manage Encounter Roles,Able to add/edit/retire encounter roles
129aa27e-440a-11e6-a65c-00e04c680037,Manage Encounter Types,Able to add/edit/delete encounter types
827b912c-4425-48fa-8876-9d63d3f7dea8,Manage encounters,
129aa2ae-440a-11e6-a65c-00e04c680037,Manage Field Types,Able to add/edit/retire field types
1ac27e84-b447-4743-842b-83dfc4663841,Manage Flags,"Allows user add, edit, and remove flags"
129aa2d2-440a-11e6-a65c-00e04c680037,Manage FormEntry XSN,Allows user to upload and edit the xsns stored on the server
129aa2f8-440a-11e6-a65c-00e04c680037,Manage Forms,Able to add/edit/delete forms
129aa31d-440a-11e6-a65c-00e04c680037,Manage Global Properties,Able to add/edit global properties
99d983ee-d18f-4eb7-9b64-0e48108c1149,Manage HIV Care and Treatment,Manage HIV Care and Treatment
23a95fcf-49b8-4c2e-bca1-55fe0700d1cd,Manage HIV Prevention Services,
a2d1789b-f032-4438-9db0-19af0fc57372,Manage HL7 Messages,Able to add/edit/delete HL7 messages
5ce74f4b-b537-4b3b-9e12-9228a3826390,Manage Home Link,Manage Home Link
a4d6db4d-490d-4fb9-8f0c-35f520cd0617,Manage Identifier Sources,"Allows user add, edit, and remove identifier sources"
129aa343-440a-11e6-a65c-00e04c680037,Manage Identifier Types,Able to add/edit/delete patient identifier types
1c9a3eb6-9e13-4a5e-9a30-c19731a1b956,Manage Immunization Summary,Manage Immunization Summary
eb3c8909-1f36-45b2-b4fd-c452c74072a5,Manage Implementation Id,Able to view/add/edit the implementation id for the system
62a8debd-87a1-4fe7-8f14-bc22a8b087f3,Manage Indicator Definitions,Add/Edit/Remove Indicator Definitions
dee43ce0-ef50-4693-8eda-6bef6ea34185,Manage Inpatient,Manage Inpatient
35aa70ac-995c-4415-9730-cf7ca08b00c1,Manage IPD,Manage IPD
040ec3b5-deed-48ff-af54-bf0f949bc856,Manage Laboratory,Manage Laboratory
ed3c3f96-6118-4073-8adb-9ef1b7485967,Manage Location Attribute Types,Able to add/edit/retire location attribute types
6bb71fbb-b1c6-4530-8637-67cfc65aa27e,Manage Location Tags,Able to add/edit/delete location tags
129aa367-440a-11e6-a65c-00e04c680037,Manage Locations,Able to add/edit/delete locations
c684ea4e-0b1b-4041-96a3-2c3faaa8febc,Manage Metadata Mapping,Able to manage metadata mappings
129aa38b-440a-11e6-a65c-00e04c680037,Manage Modules,Able to add/remove modules to the system
28126bed-7313-4938-9212-f0898fb58ed9,Manage OPD,Manage OPD
c7393a69-9d41-4f7d-b005-c8d71c851eef,Manage Order Basket,Manage Order Basket
1cd30235-5c05-44fa-b892-9c54eb6907f8,Manage Order Frequencies,Able to add/edit/retire Order Frequencies
6644a8a8-3833-441e-908f-e3c6efd302f3,Manage Order Set Attribute Types,Able to add/edit/retire order set attribute types
7df8ef60-c4ef-465b-b0bb-d3122572f285,Manage Order Sets,Able to manage order sets
129aa3b1-440a-11e6-a65c-00e04c680037,Manage Order Types,Able to add/edit/retire order types
c6d45a2e-b6fa-4c12-8f7d-7f568f2c2ec9,Manage OrderTemplates,Base privilege for add/edit/delete order templates
f2ef4b72-c970-409c-8e3e-74d55b403ccd,Manage OWA,"Allows to configure OWA module, upload modules"
5c5d0a6d-4001-11ee-8181-2a3773259ccd,Manage Own Appointments,"With this privilege, providers can book/edit appointments only for themselves."
d15214a7-242d-4ac6-9150-a71c894131bc,Manage Patient Allergies,Manage Patient Allergies
e289ecf2-3950-46b8-a783-a7d9f2852329,Manage Patient Appointment,Manage Patient Appointment
2d675753-c388-461d-851f-6f12be3ec944,Manage Patient Appointment Orders,Manage Patient Appointment Orders
d74d019b-9221-4bec-9e12-504ff4024385,Manage patient appointments,
0752480b-c98d-4b5d-a323-351690069904,Manage Patient Appointments Link,
ca219c30-1681-4ab1-9e52-98007dd38834,Manage patient attachments,
8ec2ca2a-1283-4ea9-b471-ff09b477927c,Manage Patient Banner End Visit Button,Manage Patient Banner End Visit Button
bc7878fa-8771-4716-b2b4-4c25a201ce29,Manage Patient Billing,Allows managing patient billing
21ece63d-dbc0-4581-ae50-57c7c3f708d7,Manage Patient Conditions,Manage Patient Conditions
169a6cfa-0111-49bc-b69d-52c1a40ea031,Manage Patient Immunization Orders,Manage Patient Immunization Orders
ee344428-4728-4005-afc5-b5fe5bbe43b5,Manage Patient Investigation,Manage Patient Investigation
a82a5a04-fcd7-4d5e-aa67-5ece7c205a2c,Manage Patient Lab Orders,Manage Patient Lab Orders
1397335f-e047-49ce-8dcd-c1868076a9f1,Manage Patient Medication,Manage Patient Medication
6024a68e-1b68-437c-aad5-dd024d085bfa,Manage Patient Notes,Manage Patient Notes
52e289e9-eecb-45eb-a70f-851c61f563af,Manage patient orders,
64f2f8f0-bad9-435f-b712-7a20b4fff19a,Manage Patient Program,Manage Patient Program
4adb00a2-b0ba-46a8-a523-cbef160ab330,Manage Patient Queues,Manage Patient Queues
dfe1e311-4f35-47d6-921e-aa4395e4a29f,Manage Patient Results,Manage Patient Results
ed198398-a536-4f45-abba-ef631d94a90a,Manage Patient Summary,Manage Patient Summary
cf1743c6-a354-4d74-9254-2ee0dacce9ff,Manage Patient Test Summary,Manage Patient Test Summary
c70bcd43-62dd-438e-b6d7-9a508e3d0dd7,Manage Patient Visits,Manage Patient Visits
ceb15858-201c-45a4-816e-a946bad397c9,Manage Patient Vital,Manage Patient Vital
129aa3d4-440a-11e6-a65c-00e04c680037,Manage Person Attribute Types,Able to add/edit/delete person attribute types
129aa403-440a-11e6-a65c-00e04c680037,Manage Privileges,Able to add/edit/delete privileges
ce981491-76d8-4925-b8d8-089352538a34,Manage Procedures,Allows the user to manage procedure orders
129aa428-440a-11e6-a65c-00e04c680037,Manage Programs,Able to add/view/delete patient programs
044e4990-9e28-4906-a807-430c76060105,Manage Provider Schedules,Ability to add/edit/purge appointment blocks
5652e96c-1718-4f95-8985-89a149e24d3d,Manage Providers,Able to edit Provider
454f6e92-fab0-4c65-b8ee-3c1770409f6b,Manage Radiology,allows the user to Manage radiology
129aa44c-440a-11e6-a65c-00e04c680037,Manage Relationship Types,Able to add/edit/retire relationship types
129aa474-440a-11e6-a65c-00e04c680037,Manage Relationships,Able to add/edit/delete relationships
04dd298c-e6fc-4778-94eb-1b78d69f9a64,Manage Report Definitions,Add/Edit/Remove Report Definitions
6bdf4dd1-101f-4b1a-b788-853e74692d90,Manage Report Designs,Add/Edit/Remove Report Designs
6a5da668-7565-42a1-8d1f-10f1d84a23ce,Manage Reports,"Base privilege for add/edit/delete reporting definitions. This gives access to the administrative menus, but you need to grant additional privileges to manage each specific type of reporting definition"
a1329a4a-1af7-453a-86e4-fb2c3a653325,Manage RESTWS,Allows to configure RESTWS module
129aa499-440a-11e6-a65c-00e04c680037,Manage Roles,Able to add/edit/delete user roles
e6ae0588-b5cc-4293-b1db-fd93dc7195ee,Manage Rule Definitions,Allows creation and editing of user-defined rules
4c46b311-36d5-4665-a643-59b4e01b655f,Manage Scheduled Report Tasks,Manage Task Scheduling in Reporting Module
129aa4bd-440a-11e6-a65c-00e04c680037,Manage Scheduler,Able to add/edit/remove scheduled tasks
aa9db46e-2310-4ed9-bfba-21aff36e5247,Manage Search Index,Able to manage the search index
b24e5516-a839-4c5a-ab5b-bbd9e48c799a,Manage Stock Management,allows the user to manage stock management
19183081-3eb5-4738-8945-e84802aaaf3a,Manage synonym group,Ability to manage synonym group
38a95ec4-2c5e-40a2-ab20-d5651f6b4935,Manage Synonym Groups,Ability to manage synonym groups
f9119a4f-db09-47c9-9371-2fc7e0e75ba4,Manage TB Program,Manage TB Program
7af9d88b-aeb0-4f5a-806a-2244a6b524ed,Manage Token Registrations,Allows to create/update/delete token registrations
25e5779a-dd62-4e64-b958-e5f5b3ebfc8a,Manage Tokens,Allows registering and removal of tokens
b62faa38-42f1-4aed-aa3a-207e4e67383c,Manage Visit Attribute Types,Able to add/edit/retire visit attribute types
fb828c68-d3bd-4cef-8a3c-e51568e42842,Manage Visit Note,Manage Visit Note
75ad24c1-a338-4978-8685-dfaf7257e1fc,Manage Visit Types,Able to add/edit/delete visit types
b85b632d-af61-4d50-a083-2b8b1b782953,Mark Dead Button,Mark Dead Button
933de750-a2c3-43cb-b03d-5e510882d6c6,Next Service Point,Move Patient To Next Service Point Button
aa9f32dd-b2da-4545-9d4f-799c79aaae60,Patient Dashboard - View Chart Search Section,Ability view Chart Search Section in Patient Dashboard
129aa4e2-440a-11e6-a65c-00e04c680037,Patient Dashboard - View Demographics Section,Able to view the 'Demographics' tab on the patient dashboard
129aa50c-440a-11e6-a65c-00e04c680037,Patient Dashboard - View Encounters Section,Able to view the 'Encounters' tab on the patient dashboard
129aa538-440a-11e6-a65c-00e04c680037,Patient Dashboard - View Forms Section,Allows user to view the Forms tab on the patient dashboard
129aa561-440a-11e6-a65c-00e04c680037,Patient Dashboard - View Graphs Section,Able to view the 'Graphs' tab on the patient dashboard
129aa58b-440a-11e6-a65c-00e04c680037,Patient Dashboard - View Overview Section,Able to view the 'Overview' tab on the patient dashboard
129aa5b8-440a-11e6-a65c-00e04c680037,Patient Dashboard - View Patient Summary,Able to view the 'Summary' tab on the patient dashboard
129aa5e3-440a-11e6-a65c-00e04c680037,Patient Dashboard - View Regimen Section,Able to view the 'Regimen' tab on the patient dashboard
811c6f3c-cd84-449a-b69e-231965988883,Patient Dashboard - View Visits Section,Able to view the 'Visits' tab on the patient dashboard
d05118c6-2490-4d78-a41a-390e3596a261,Patient Overview - View Allergies,Able to view the Allergies portlet on the patient overview tab
d05118c6-2490-4d78-a41a-390e3596a264,Patient Overview - View Patient Actions,Able to view the Patient Actions portlet on the patient overview tab
3a31a926-44cb-4a77-a795-618007276d48,Patient Overview - View Patient Flags,Able to view the 'Patient Flags' portlet on the patient dashboard's overview tab
d05118c6-2490-4d78-a41a-390e3596a260,Patient Overview - View Problem List,Able to view the Problem List portlet on the patient overview tab
d05118c6-2490-4d78-a41a-390e3596a263,Patient Overview - View Programs,Able to view the Programs portlet on the patient overview tab
d05118c6-2490-4d78-a41a-390e3596a262,Patient Overview - View Relationships,Able to view the Relationships portlet on the patient overview tab
5e67e19a-2b0c-47e1-82bd-33cf70b3af7d,Preview Forms,Allows user to preview Form Entry pages from files. This should be restricted to trusted users only.
d6fd3b39-e146-4324-8248-a5c17b76b452,Print Appointments,Print Appointments
2ba8074c-e88b-4531-878b-64e4f5b0210b,Print: Patient Demographics,All user to print patient demographics
ed8c49f4-9ac4-4e98-a579-92691ece42c9,Provider Management - Admin,Allows access to admin pages of the provider management module
f1a7f6df-8f6e-4c5e-908d-6d0f8d6116c8,Provider Management API,Allows access to all provider management service and provider suggestion service API method
327de287-9d5f-4ac4-9de7-a6b30dc8f264,Provider Management API - Read-only,Allows access to all provider management service and provider suggestion service API methods that are read-only
4e574e04-904a-4f8a-96d9-8f18537e441a,Provider Management Dashboard - Edit Patients,Allows access to editing patient information on the provider management dashboard
b869b746-d9c6-4a7e-b781-abe6629c2b7a,Provider Management Dashboard - Edit Providers,Allows access to editing provider information on the provider management dashboard
38c7b783-e123-44fe-a91a-dc69aab089f9,Provider Management Dashboard - View Historical,Allows access to viewing historical patient (if user has view patients right) and supervisee information on the provider management dashboard
33782acc-94fa-4f3d-a890-18c7dd1389ce,Provider Management Dashboard - View Patients,Allows access to viewing patient information on the provider management dashboard
62bb2f7f-ed3c-44cb-b21e-b010828ff623,Provider Management Dashboard - View Providers,Allows access to viewing provider information on the provider management dashboard
5555cb91-27a5-4851-bf07-350b28951175,Purge Cashier Bills,Able to purge bills
e0761519-4184-45d1-9680-e6bf00aec9b9,Purge Cashier Metadata,Able to purge cashier module metadata
04a7a348-dc86-44c2-aa8f-a363ce4a4534,Purge Cashier Timesheets,Able to purge timesheets
129aa612-440a-11e6-a65c-00e04c680037,Purge Field Types,Able to purge field types
8eced5b8-91da-41b7-8d19-8619beac84aa,Queue Patients,Allow user to queue patients
914e4e85-9ea0-475a-a2cb-974e8c1d3004,Refund Money,Able to create/adjust a bill so that it refunds money.
27cb9394-d387-4d7f-81e3-297debcd31f4,Remove Allergies,Remove allergies
b6f4d61f-fe31-48ac-9cb4-bae94f459053,Remove Problems,Remove problems
f905752e-9b38-4049-aa58-c486e143f338,Reprint Receipt,Able to print bill receipts more than once.
5aff042a-84d8-4957-92c3-a634d629991a,Request Appointments,Ability to request new appointments
5c5fd9e6-4001-11ee-8181-2a3773259ccd,Reset Appointment Status,"With this privilege, users can reset appointments from any status to scheduled."
e1d5233a-a89e-4fd5-a6ff-3209c027262a,Run Chart Search commands,Ability to run Solr commands
c3b653cf-8003-4e1f-af32-8128b7481b19,Run Reports,Schedule the running of a report
295da3fe-4900-4af5-ba13-bc4a8dad6dcb,Schedule Appointments,Ability to schedule new appointments
4ca5e82b-7b21-4623-9e74-83b868982355,Search Patient,Search Patient
694b5e39-796f-4b65-b81f-78f45a7e3e46,Share Metadata,Allows user to export and import metadata
56439786-4d5e-494e-b507-e9d802a6b5a0,SQL Level Access,Access to SQL Querying
46be16ce-1685-4da1-b7ef-92cd2ba44814,Squeezing Appointments,Ability to override the constraints and schedule appointments into full slots
9c38dbf0-5d2b-400d-b69e-79b13d860191,Start Visit Button,Start Visit Button
bfd92414-e113-4ac3-8489-03138c183188,Stop Visit Button,Stop Visit Button
06aa4d8e-26c8-47d4-9c6f-1636b42dc914,Task: Adjust Cashier Bills,Able to adjust cashier bills
17386a70-7f67-42fb-a3c6-41847f6fbee3,Task: appointmentschedulingui.bookAppointments,"Ability book appointments, cancel appointments, and flag appointments as needs reschedule; Access to the Manage Rescheduled app"
7aa2afb0-44c7-493a-b085-4a494cc898d9,Task: appointmentschedulingui.overbookAppointments,Ability to overbook time slots
23285d6d-a5ef-4dc1-956e-c41f4bddf764,Task: appointmentschedulingui.requestAppointments,Ability to request an appointment for a patient
6ce3bb14-6683-4dc3-a6fa-5cddf2828df1,Task: appointmentschedulingui.viewConfidential,Ability to see details of confidential appointments (you also need View Appointments privileges)
d3962bfd-3bda-4a12-8dd9-be220957de94,Task: Cashier Timesheets,Able to access timesheets page
8437c737-240c-4c75-ac65-815632dab52c,Task: coreapps.createRetrospectiveVisit,Able to create a retrospective visit
034e2a04-469c-4e63-a235-4af4e6d1fc56,Task: coreapps.createVisit,Able to create a visit
ecf9d93c-67e4-441e-a3da-d457dd8ac23d,Task: coreapps.deletePatient,Able to delete a patient
d850bac8-146b-473c-aed7-0882c8feb106,Task: coreapps.deletePatientProgram,Ability to delete a patient program via the program status widget
c6ef1734-b16f-4483-b950-d6365608d250,Task: coreapps.editPatientProgram,Ability to edit a patient program via the program status widget
5222e6c8-8b90-4c7f-9a8d-31cadf531f74,Task: coreapps.editRelationships,Able to edit relationships
b3e3e79b-7848-41d6-80a2-0094b58ae725,Task: coreapps.endVisit,Able to end visit
4b9f1d94-058a-4f64-986c-d9074127af44,Task: coreapps.enrollInProgram,Ability to enroll a patient in a program via the program status widget
205ebb45-79db-4bf5-a080-bac2421b5cb0,Task: coreapps.markPatientDead,Ability to Mark a patient dead/deceased.
975587fd-fd6a-41fd-a464-9b6b50815d25,Task: coreapps.mergeVisits,Able to merge visits
20d1ecaf-d9a7-4860-bf6e-189ab9e58955,Task: Create new bill,Able to access bill page
2a3045a7-8ba0-417a-96be-24ddb79f6904,Task: dispensing.create.dispense,Allows user to Dispense Medication
0b004630-4794-499d-a3aa-f9e35c90b228,Task: dispensing.create.dispense.allowSubstitutions,Allow modification of drug quantity
f7bdafc8-6e13-4fa7-8d62-0421ab5a404e,Task: dispensing.create.dispense.andModifyDetails,"Allows user to modify the Quantity, Drug, Formulation and Dose Instructions (from the values specified in the Order / Medication Request) when Dispensing"
67332dff-075c-46e1-983e-29d1eac87e5d,Task: dispensing.delete.dispense,Allows user to delete an existing Medication Dispense
b5dee457-8c79-4ce3-bac2-04cbfc191d36,Task: dispensing.delete.dispense.ifCreator,"Allows user to delete an existing Medication Dispense, but only if they created it originally"
74d95070-8586-4c73-bba9-3538a537493e,Task: dispensing.edit.dispense,Allows user to edit an existing Medication Dispense
13d87cb7-0f31-4524-acd4-3cf5115ba34e,Task: emr.patient.encounter.delete,Able to delete patient encounters
d6b47e75-fca9-46c0-8b73-169d4d626230,Task: emr.patient.encounter.edit,Able to edit patient encounters
7e0465e4-2119-11e8-b467-0ed5f89f718b,Task: HIV Clinic Access,Able to access HIV patient clinic information
74d8ca29-35c8-11ef-9df0-00155d919f83,Task: labmanagement.approvalconfigurations.mutate,Able to create and update lab approval configurations
c5464fbf-35c8-11ef-9df0-00155d919f83,Task: labmanagement.reports.mutate,Able to create lab reports
14289fe5-707b-11ef-a8bb-00155d79962d,Task: labmanagement.repository.mutate,Able to manage sample repository

